CUS_0001,NAME_0001,0001-0001,10000@abc.com,******,A,A Region,FEMLE,19900202,A
CUS_0002,NAME_0002,0002-0002,20000@abc.com,******,A,A Region,FEMLE,19900203,A
CUS_0010,NAME_0010,0010-0010,10000@abc.com,******,A,A Region,FEMLE,19900211,A
CUS_0009,NAME_0009,0009-0009,90000@abc.com,******,A,A Region,FEMLE,19900210,A
CUS_0008,NAME_0008,0008-0008,80000@abc.com,******,A,A Region,FEMLE,19900209,A
CUS_0007,NAME_0007,0007-0007,70000@abc.com,******,A,A Region,FEMLE,19900208,A
CUS_0003,NAME_0003,0003-0003,30000@abc.com,******,A,A Region,FEMLE,19900204,A
CUS_0004,NAME_0004,0004-0004,40000@abc.com,******,A,A Region,FEMLE,19900205,A
CUS_0005,NAME_0005,0005-0005,50000@abc.com,******,A,A Region,FEMLE,19900206,A
CUS_0006,NAME_0006,0006-0006,60000@abc.com,******,A,A Region,FEMLE,19900207,A
CUS_0014,NAME_0014,0014-0014,14000@abc.com,******,A,A Region,FEMLE,19900215,B
CUS_0013,NAME_0013,0013-0013,13000@abc.com,******,A,A Region,FEMLE,19900214,B
CUS_0012,NAME_0012,0012-0012,12000@abc.com,******,A,A Region,FEMLE,19900213,B
CUS_0011,NAME_0011,0011-0011,11000@abc.com,******,A,A Region,FEMLE,19900212,B
CUS_0015,NAME_0015,0015-0015,15000@abc.com,******,A,A Region,FEMLE,19900216,B
CUS_0046,NAME_0046,0046-0046,46000@abc.com,******,A,A Region,MALE,19900319,A
CUS_0047,NAME_0047,0047-0047,47000@abc.com,******,A,A Region,MALE,19900320,A
CUS_0048,NAME_0048,0048-0048,48000@abc.com,******,A,A Region,MALE,19900321,A
CUS_0049,NAME_0049,0049-0049,49000@abc.com,******,A,A Region,MALE,19900322,A
CUS_0050,NAME_0050,0050-0050,50000@abc.com,******,A,A Region,MALE,19900323,A
CUS_0051,NAME_0051,0051-0051,51000@abc.com,******,A,A Region,MALE,19900324,A
CUS_0052,NAME_0052,0052-0052,52000@abc.com,******,A,A Region,MALE,19900325,A
CUS_0053,NAME_0053,0053-0053,53000@abc.com,******,A,A Region,MALE,19900326,A
CUS_0054,NAME_0054,0054-0054,54000@abc.com,******,A,A Region,MALE,19900327,A
CUS_0055,NAME_0055,0055-0055,55000@abc.com,******,A,A Region,MALE,19900328,A
CUS_0056,NAME_0056,0056-0056,56000@abc.com,******,A,A Region,MALE,19900329,B
CUS_0057,NAME_0057,0057-0057,57000@abc.com,******,A,A Region,MALE,19900330,B
CUS_0060,NAME_0060,0060-0060,60000@abc.com,******,A,A Region,MALE,19900402,B
CUS_0059,NAME_0059,0059-0059,59000@abc.com,******,A,A Region,MALE,19900401,B
CUS_0058,NAME_0058,0058-0058,58000@abc.com,******,A,A Region,MALE,19900331,B
CUS_0018,NAME_0018,0018-0018,18000@abc.com,******,B,B Region,FEMLE,19900319,A
